index,date,time,wind speed,Temperature,wind Pressure
1,2019-03-27,18:00:00,1.6,278.76,1031.934
2,2019-03-27,19:00:00,1.49,278.4,1033.061
3,2019-03-27,20:00:00,1.58,277.71,1033.968
4,2019-03-27,21:00:00,1.66,277.32,1034.661
5,2019-03-27,22:00:00,1.6,276.96,1035.082
6,2019-03-27,23:00:00,1.38,276.491,1035.273
7,2019-03-28,00:00:00,1.13,276.081,1035.227
8,2019-03-28,01:00:00,0.93,275.712,1035.094
9,2019-03-28,02:00:00,0.76,275.358,1035.008
10,2019-03-28,03:00:00,0.58,274.954,1035.01
11,2019-03-28,04:00:00,0.48,274.805,1035.079
12,2019-03-28,05:00:00,0.49,274.744,1035.228
13,2019-03-28,06:00:00,0.61,275.267,1035.421
14,2019-03-28,07:00:00,1.04,277,1034.79
15,2019-03-28,08:00:00,1.61,278.8,1034.179
16,2019-03-28,09:00:00,2.25,280.6,1033.734
17,2019-03-28,10:00:00,2.77,281.8,1033.315
18,2019-03-28,11:00:00,3.01,282.933,1032.889
19,2019-03-28,12:00:00,3.12,283.888,1032.449
20,2019-03-28,13:00:00,3.31,284.6,1031.936
21,2019-03-28,14:00:00,3.49,285.021,1031.435
22,2019-03-28,15:00:00,3.64,284.9,1031.28
23,2019-03-28,16:00:00,3.5,284.231,1031.355
24,2019-03-28,17:00:00,3.21,282.595,1031.93
25,2019-03-28,18:00:00,3.21,280.849,1033.033
26,2019-03-28,19:00:00,3.16,279.9,1033.945
27,2019-03-28,20:00:00,2.96,279.3,1034.455
28,2019-03-28,21:00:00,2.65,278.775,1034.815
29,2019-03-28,22:00:00,2.37,278.326,1034.999
30,2019-03-28,23:00:00,2.12,278,1034.992
31,2019-03-29,00:00:00,1.96,277.6,1034.874
32,2019-03-29,01:00:00,1.95,277.16,1034.624
33,2019-03-29,02:00:00,2,276.739,1034.345
34,2019-03-29,03:00:00,2.1,276.465,1034.124
35,2019-03-29,04:00:00,2.28,276.078,1033.979
36,2019-03-29,05:00:00,2.39,275.682,1033.842
37,2019-03-29,06:00:00,2.5,276.125,1033.614
38,2019-03-29,07:00:00,3.05,277.8,1032.628
39,2019-03-29,08:00:00,3.45,279.874,1031.838
40,2019-03-29,09:00:00,3.88,281.851,1031.349
41,2019-03-29,10:00:00,4.18,283.525,1030.794
42,2019-03-29,11:00:00,4.23,284.836,1030.155
43,2019-03-29,12:00:00,4.01,285.888,1029.426
44,2019-03-29,13:00:00,3.68,286.551,1028.625
45,2019-03-29,14:00:00,3.32,286.945,1027.913
46,2019-03-29,15:00:00,2.94,286.874,1027.432
47,2019-03-29,16:00:00,2.59,286.426,1027.195
48,2019-03-29,17:00:00,2.37,284.8,1027.564
49,2019-03-29,18:00:00,2.43,282.945,1028.448
50,2019-03-29,19:00:00,2.47,281.849,1029.256
51,2019-03-29,20:00:00,2.32,281.1,1029.672
52,2019-03-29,21:00:00,1.88,280.464,1029.773
53,2019-03-29,22:00:00,1.46,279.896,1029.712
54,2019-03-29,23:00:00,1.21,279.443,1029.667
55,2019-03-30,00:00:00,1.06,279.011,1029.659
56,2019-03-30,01:00:00,1.07,278.65,1029.548
57,2019-03-30,02:00:00,1.22,278.319,1029.405
58,2019-03-30,03:00:00,1.47,277.98,1029.25
59,2019-03-30,04:00:00,1.61,277.707,1029.092
60,2019-03-30,05:00:00,1.63,277.295,1029.07
61,2019-03-30,06:00:00,1.65,277.977,1028.86
62,2019-03-30,07:00:00,1.66,280.019,1027.856
63,2019-03-30,08:00:00,1.86,282.377,1026.804
64,2019-03-30,09:00:00,1.91,284.504,1025.983
65,2019-03-30,10:00:00,1.99,286.404,1025.078
66,2019-03-30,11:00:00,2.16,287.804,1024.221
67,2019-03-30,12:00:00,2.26,288.805,1023.499
68,2019-03-30,13:00:00,2.22,289.331,1022.782
69,2019-03-30,14:00:00,2.05,289.448,1022.062
70,2019-03-30,15:00:00,1.85,289.3,1021.556
71,2019-03-30,16:00:00,1.54,288.852,1021.245
72,2019-03-30,17:00:00,1.05,287,1021.473
73,2019-03-30,18:00:00,0.75,284.921,1022.206
74,2019-03-30,19:00:00,0.37,284.107,1022.954
75,2019-03-30,20:00:00,0.44,283.481,1023.319
76,2019-03-30,21:00:00,1.24,282.731,1023.413
77,2019-03-30,22:00:00,1.7,282.031,1023.284
78,2019-03-30,23:00:00,1.9,281.345,1023.085
79,2019-03-31,00:00:00,2.02,280.755,1022.786
80,2019-03-31,01:00:00,2.05,280.239,1022.381
81,2019-03-31,02:00:00,1.99,280.065,1022.085
82,2019-03-31,03:00:00,2.05,280.302,1021.907
83,2019-03-31,04:00:00,2.15,280.533,1021.802
84,2019-03-31,05:00:00,2.34,280.4,1021.819
85,2019-03-31,06:00:00,2.48,280.652,1021.732
86,2019-03-31,07:00:00,2.72,281.777,1021.023
87,2019-03-31,08:00:00,2.59,282.933,1020.601
88,2019-03-31,09:00:00,2.34,283.906,1020.44
89,2019-03-31,10:00:00,1.9,284.568,1020.102
90,2019-03-31,11:00:00,3.19,286.2,1019.724
91,2019-03-31,12:00:00,5.29,285.683,1019.562
92,2019-03-31,13:00:00,5.97,285.221,1019.558
93,2019-03-31,14:00:00,5.84,284.535,1019.713
94,2019-03-31,15:00:00,5.41,283.6,1020.222
95,2019-03-31,16:00:00,5.33,282.695,1020.903
96,2019-03-31,17:00:00,5,281.5,1021.88
